Address,Property Type,Sq. Ft.,Owner,Market Value,Assessed Value,Tax,Penalty,Interest,Total
2103 MAIN ST,RESIDENTIAL B,"2,481",2103 MAIN ST LAND TR Fee Owner,"$426,818","$26,619",$0,$0.00,$0.00,$0.00
8979 MAIN ST,COMMERCIAL B,"8,707",8979 MAIN ST LAND TR Fee Owner,"$797,268","$183,962",$0,$0.00,$0.00,$0.00
3287 MAIN ST,COMMERCIAL B,"3,049",3287 MAIN ST LAND TR Fee Owner,"$607,230","$28,358",$0,$0.00,$0.00,$0.00
5232 MAIN ST,COMMERCIAL A,"4,328",5232 MAIN ST LAND TR Fee Owner,"$769,755","$104,557",$0,$0.00,$0.00,$0.00
8448 MAIN ST,COMMERCIAL B,"8,345",8448 MAIN ST LAND TR Fee Owner,"$920,606","$142,672",$0,$0.00,$0.00,$0.00
9827 MAIN ST,RESIDENTIAL B,"4,953",9827 MAIN ST LAND TR Fee Owner,"$156,868","$29,983",$0,$0.00,$0.00,$0.00
1678 MAIN ST,COMMERCIAL A,"3,735",1678 MAIN ST LAND TR Fee Owner,"$962,557","$111,607",$0,$0.00,$0.00,$0.00
7780 MAIN ST,RESIDENTIAL A,"3,205",7780 MAIN ST LAND TR Fee Owner,"$822,604","$180,892",$0,$0.00,$0.00,$0.00
9382 MAIN ST,COMMERCIAL A,"9,662",9382 MAIN ST LAND TR Fee Owner,"$71,716","$151,816",$0,$0.00,$0.00,$0.00
6433 MAIN ST,RESIDENTIAL B,"2,409",6433 MAIN ST LAND TR Fee Owner,"$807,691","$77,623",$0,$0.00,$0.00,$0.00
8853 MAIN ST,RESIDENTIAL A,"3,660",8853 MAIN ST LAND TR Fee Owner,"$791,793","$28,114",$0,$0.00,$0.00,$0.00
6977 MAIN ST,COMMERCIAL A,"4,991",6977 MAIN ST LAND TR Fee Owner,"$818,474","$86,495",$0,$0.00,$0.00,$0.00
9847 MAIN ST,COMMERCIAL A,"9,507",9847 MAIN ST LAND TR Fee Owner,"$939,529","$82,135",$0,$0.00,$0.00,$0.00
4356 MAIN ST,RESIDENTIAL A,"4,823",4356 MAIN ST LAND TR Fee Owner,"$254,448","$184,839",$0,$0.00,$0.00,$0.00
4479 MAIN ST,COMMERCIAL B,"4,672",4479 MAIN ST LAND TR Fee Owner,"$445,340","$150,142",$0,$0.00,$0.00,$0.00
3724 MAIN ST,RESIDENTIAL B,"5,062",3724 MAIN ST LAND TR Fee Owner,"$228,932","$168,782",$0,$0.00,$0.00,$0.00
5821 MAIN ST,COMMERCIAL A,"2,850",5821 MAIN ST LAND TR Fee Owner,"$426,154","$99,692",$0,$0.00,$0.00,$0.00
3224 MAIN ST,COMMERCIAL A,"9,304",3224 MAIN ST LAND TR Fee Owner,"$719,465","$182,552",$0,$0.00,$0.00,$0.00
6848 MAIN ST,RESIDENTIAL B,"2,190",6848 MAIN ST LAND TR Fee Owner,"$322,171","$168,618",$0,$0.00,$0.00,$0.00
3751 MAIN ST,RESIDENTIAL B,"9,237",3751 MAIN ST LAND TR Fee Owner,"$719,477","$191,447",$0,$0.00,$0.00,$0.00
4115 MAIN ST,RESIDENTIAL A,"7,263",4115 MAIN ST LAND TR Fee Owner,"$963,064","$164,166",$0,$0.00,$0.00,$0.00
4625 MAIN ST,COMMERCIAL B,"7,003",4625 MAIN ST LAND TR Fee Owner,"$827,826","$172,758",$0,$0.00,$0.00,$0.00
2140 MAIN ST,COMMERCIAL A,"5,677",2140 MAIN ST LAND TR Fee Owner,"$373,798","$109,957",$0,$0.00,$0.00,$0.00
7096 MAIN ST,RESIDENTIAL B,"7,780",7096 MAIN ST LAND TR Fee Owner,"$962,313","$13,133",$0,$0.00,$0.00,$0.00
8082 MAIN ST,COMMERCIAL B,"4,440",8082 MAIN ST LAND TR Fee Owner,"$623,202","$147,757",$0,$0.00,$0.00,$0.00
8088 MAIN ST,RESIDENTIAL A,"1,764",8088 MAIN ST LAND TR Fee Owner,"$636,345","$160,916",$0,$0.00,$0.00,$0.00
6584 MAIN ST,RESIDENTIAL B,"1,540",6584 MAIN ST LAND TR Fee Owner,"$57,560","$113,032",$0,$0.00,$0.00,$0.00
4719 MAIN ST,RESIDENTIAL A,"6,450",4719 MAIN ST LAND TR Fee Owner,"$829,857","$65,173",$0,$0.00,$0.00,$0.00
6656 MAIN ST,COMMERCIAL A,"2,006",6656 MAIN ST LAND TR Fee Owner,"$67,609","$154,665",$0,$0.00,$0.00,$0.00
1783 MAIN ST,RESIDENTIAL B,"5,078",1783 MAIN ST LAND TR Fee Owner,"$429,716","$35,968",$0,$0.00,$0.00,$0.00
1862 MAIN ST,COMMERCIAL A,"8,152",1862 MAIN ST LAND TR Fee Owner,"$969,785","$144,531",$0,$0.00,$0.00,$0.00
9669 MAIN ST,COMMERCIAL B,"3,893",9669 MAIN ST LAND TR Fee Owner,"$664,807","$185,030",$0,$0.00,$0.00,$0.00
6104 MAIN ST,RESIDENTIAL A,"8,253",6104 MAIN ST LAND TR Fee Owner,"$627,497","$86,114",$0,$0.00,$0.00,$0.00
6604 MAIN ST,RESIDENTIAL A,"6,527",6604 MAIN ST LAND TR Fee Owner,"$931,304","$195,238",$0,$0.00,$0.00,$0.00
3403 MAIN ST,COMMERCIAL B,"8,874",3403 MAIN ST LAND TR Fee Owner,"$880,642","$86,430",$0,$0.00,$0.00,$0.00
5942 MAIN ST,COMMERCIAL B,"8,535",5942 MAIN ST LAND TR Fee Owner,"$252,210","$21,468",$0,$0.00,$0.00,$0.00
3625 MAIN ST,RESIDENTIAL B,"1,175",3625 MAIN ST LAND TR Fee Owner,"$477,462","$94,232",$0,$0.00,$0.00,$0.00
6068 MAIN ST,COMMERCIAL A,"1,979",6068 MAIN ST LAND TR Fee Owner,"$277,284","$152,174",$0,$0.00,$0.00,$0.00
2188 MAIN ST,COMMERCIAL B,"8,667",2188 MAIN ST LAND TR Fee Owner,"$422,161","$160,048",$0,$0.00,$0.00,$0.00
2244 MAIN ST,RESIDENTIAL B,"4,859",2244 MAIN ST LAND TR Fee Owner,"$758,140","$116,717",$0,$0.00,$0.00,$0.00
9217 MAIN ST,RESIDENTIAL B,"9,166",9217 MAIN ST LAND TR Fee Owner,"$862,332","$81,786",$0,$0.00,$0.00,$0.00
7491 MAIN ST,RESIDENTIAL B,"5,192",7491 MAIN ST LAND TR Fee Owner,"$588,467","$173,402",$0,$0.00,$0.00,$0.00
7002 MAIN ST,COMMERCIAL A,"8,829",7002 MAIN ST LAND TR Fee Owner,"$875,120","$193,100",$0,$0.00,$0.00,$0.00
7805 MAIN ST,COMMERCIAL A,"5,649",7805 MAIN ST LAND TR Fee Owner,"$726,034","$22,841",$0,$0.00,$0.00,$0.00
7667 MAIN ST,COMMERCIAL B,"6,568",7667 MAIN ST LAND TR Fee Owner,"$990,495","$120,404",$0,$0.00,$0.00,$0.00
7037 MAIN ST,RESIDENTIAL B,"9,698",7037 MAIN ST LAND TR Fee Owner,"$978,202","$69,659",$0,$0.00,$0.00,$0.00
8549 MAIN ST,RESIDENTIAL B,"4,585",8549 MAIN ST LAND TR Fee Owner,"$873,839","$54,311",$0,$0.00,$0.00,$0.00
4794 MAIN ST,RESIDENTIAL B,"8,436",4794 MAIN ST LAND TR Fee Owner,"$602,187","$190,253",$0,$0.00,$0.00,$0.00
1098 MAIN ST,RESIDENTIAL A,"5,653",1098 MAIN ST LAND TR Fee Owner,"$230,401","$22,832",$0,$0.00,$0.00,$0.00
8627 MAIN ST,RESIDENTIAL B,"7,316",8627 MAIN ST LAND TR Fee Owner,"$498,626","$63,221",$0,$0.00,$0.00,$0.00
6300 MAIN ST,COMMERCIAL A,"7,382",6300 MAIN ST LAND TR Fee Owner,"$848,325","$61,715",$0,$0.00,$0.00,$0.00
7494 MAIN ST,COMMERCIAL B,"4,749",7494 MAIN ST LAND TR Fee Owner,"$187,054","$114,714",$0,$0.00,$0.00,$0.00
7466 MAIN ST,RESIDENTIAL B,"8,157",7466 MAIN ST LAND TR Fee Owner,"$229,101","$24,793",$0,$0.00,$0.00,$0.00
6494 MAIN ST,RESIDENTIAL A,"9,298",6494 MAIN ST LAND TR Fee Owner,"$488,196","$163,178",$0,$0.00,$0.00,$0.00
8741 MAIN ST,COMMERCIAL A,"9,270",8741 MAIN ST LAND TR Fee Owner,"$798,461","$11,999",$0,$0.00,$0.00,$0.00
8296 MAIN ST,RESIDENTIAL A,"2,841",8296 MAIN ST LAND TR Fee Owner,"$107,393","$88,108",$0,$0.00,$0.00,$0.00
6992 MAIN ST,COMMERCIAL A,"3,271",6992 MAIN ST LAND TR Fee Owner,"$855,245","$182,217",$0,$0.00,$0.00,$0.00
5921 MAIN ST,RESIDENTIAL B,"9,164",5921 MAIN ST LAND TR Fee Owner,"$181,790","$131,689",$0,$0.00,$0.00,$0.00
5026 MAIN ST,COMMERCIAL A,"1,788",5026 MAIN ST LAND TR Fee Owner,"$252,411","$136,373",$0,$0.00,$0.00,$0.00
2466 MAIN ST,COMMERCIAL A,"9,240",2466 MAIN ST LAND TR Fee Owner,"$852,211","$107,085",$0,$0.00,$0.00,$0.00
4723 MAIN ST,RESIDENTIAL B,"6,883",4723 MAIN ST LAND TR Fee Owner,"$692,998","$196,162",$0,$0.00,$0.00,$0.00
3959 MAIN ST,RESIDENTIAL B,"5,672",3959 MAIN ST LAND TR Fee Owner,"$968,849","$149,582",$0,$0.00,$0.00,$0.00
3889 MAIN ST,COMMERCIAL A,"3,193",3889 MAIN ST LAND TR Fee Owner,"$585,561","$132,276",$0,$0.00,$0.00,$0.00
8851 MAIN ST,RESIDENTIAL A,"5,691",8851 MAIN ST LAND TR Fee Owner,"$998,672","$141,285",$0,$0.00,$0.00,$0.00
2287 MAIN ST,RESIDENTIAL B,"5,351",2287 MAIN ST LAND TR Fee Owner,"$351,295","$117,725",$0,$0.00,$0.00,$0.00
8301 MAIN ST,COMMERCIAL A,"5,569",8301 MAIN ST LAND TR Fee Owner,"$196,223","$132,066",$0,$0.00,$0.00,$0.00
3637 MAIN ST,COMMERCIAL A,"7,999",3637 MAIN ST LAND TR Fee Owner,"$766,259","$36,810",$0,$0.00,$0.00,$0.00
5559 MAIN ST,RESIDENTIAL B,"3,770",5559 MAIN ST LAND TR Fee Owner,"$742,828","$6,556",$0,$0.00,$0.00,$0.00
4100 MAIN ST,COMMERCIAL A,"4,730",4100 MAIN ST LAND TR Fee Owner,"$906,945","$186,519",$0,$0.00,$0.00,$0.00
6871 MAIN ST,COMMERCIAL B,"7,255",6871 MAIN ST LAND TR Fee Owner,"$628,824","$145,010",$0,$0.00,$0.00,$0.00
3296 MAIN ST,RESIDENTIAL A,"5,124",3296 MAIN ST LAND TR Fee Owner,"$405,852","$99,930",$0,$0.00,$0.00,$0.00
5951 MAIN ST,COMMERCIAL A,"5,153",5951 MAIN ST LAND TR Fee Owner,"$860,269","$146,217",$0,$0.00,$0.00,$0.00
4367 MAIN ST,RESIDENTIAL A,"1,832",4367 MAIN ST LAND TR Fee Owner,"$409,626","$60,480",$0,$0.00,$0.00,$0.00
8201 MAIN ST,COMMERCIAL A,"2,938",8201 MAIN ST LAND TR Fee Owner,"$979,168","$32,066",$0,$0.00,$0.00,$0.00
1768 MAIN ST,COMMERCIAL A,"3,029",1768 MAIN ST LAND TR Fee Owner,"$343,245","$28,744",$0,$0.00,$0.00,$0.00
3806 MAIN ST,RESIDENTIAL B,"8,094",3806 MAIN ST LAND TR Fee Owner,"$775,446","$126,900",$0,$0.00,$0.00,$0.00
1715 MAIN ST,RESIDENTIAL B,"6,060",1715 MAIN ST LAND TR Fee Owner,"$186,342","$133,496",$0,$0.00,$0.00,$0.00
9039 MAIN ST,COMMERCIAL A,"5,513",9039 MAIN ST LAND TR Fee Owner,"$106,519","$181,772",$0,$0.00,$0.00,$0.00
6550 MAIN ST,COMMERCIAL A,"2,593",6550 MAIN ST LAND TR Fee Owner,"$993,878","$67,227",$0,$0.00,$0.00,$0.00
6444 MAIN ST,RESIDENTIAL A,"6,541",6444 MAIN ST LAND TR Fee Owner,"$648,861","$175,401",$0,$0.00,$0.00,$0.00
8626 MAIN ST,RESIDENTIAL A,"2,200",8626 MAIN ST LAND TR Fee Owner,"$883,696","$184,010",$0,$0.00,$0.00,$0.00
2389 MAIN ST,RESIDENTIAL A,"8,800",2389 MAIN ST LAND TR Fee Owner,"$516,887","$41,482",$0,$0.00,$0.00,$0.00
2098 MAIN ST,COMMERCIAL B,"9,982",2098 MAIN ST LAND TR Fee Owner,"$677,598","$97,141",$0,$0.00,$0.00,$0.00
5946 MAIN ST,RESIDENTIAL B,"8,710",5946 MAIN ST LAND TR Fee Owner,"$476,192","$61,338",$0,$0.00,$0.00,$0.00
1834 MAIN ST,RESIDENTIAL A,"2,185",1834 MAIN ST LAND TR Fee Owner,"$715,796","$150,036",$0,$0.00,$0.00,$0.00
6219 MAIN ST,RESIDENTIAL A,"3,562",6219 MAIN ST LAND TR Fee Owner,"$489,964","$61,817",$0,$0.00,$0.00,$0.00
4297 MAIN ST,RESIDENTIAL A,"6,001",4297 MAIN ST LAND TR Fee Owner,"$565,722","$151,384",$0,$0.00,$0.00,$0.00
5888 MAIN ST,RESIDENTIAL B,"7,968",5888 MAIN ST LAND TR Fee Owner,"$572,525","$70,972",$0,$0.00,$0.00,$0.00
8754 MAIN ST,RESIDENTIAL A,"8,911",8754 MAIN ST LAND TR Fee Owner,"$679,736","$29,003",$0,$0.00,$0.00,$0.00
8361 MAIN ST,COMMERCIAL B,"7,895",8361 MAIN ST LAND TR Fee Owner,"$762,373","$41,803",$0,$0.00,$0.00,$0.00
5371 MAIN ST,COMMERCIAL A,"4,671",5371 MAIN ST LAND TR Fee Owner,"$166,547","$158,286",$0,$0.00,$0.00,$0.00
9147 MAIN ST,COMMERCIAL A,"7,182",9147 MAIN ST LAND TR Fee Owner,"$945,331","$95,630",$0,$0.00,$0.00,$0.00
1877 MAIN ST,RESIDENTIAL A,"4,716",1877 MAIN ST LAND TR Fee Owner,"$109,805","$140,695",$0,$0.00,$0.00,$0.00
8984 MAIN ST,RESIDENTIAL A,"7,698",8984 MAIN ST LAND TR Fee Owner,"$920,546","$9,946",$0,$0.00,$0.00,$0.00
5184 MAIN ST,COMMERCIAL A,"6,186",5184 MAIN ST LAND TR Fee Owner,"$713,704","$100,313",$0,$0.00,$0.00,$0.00
5806 MAIN ST,COMMERCIAL B,"9,479",5806 MAIN ST LAND TR Fee Owner,"$175,465","$162,303",$0,$0.00,$0.00,$0.00
5301 MAIN ST,COMMERCIAL B,"4,573",5301 MAIN ST LAND TR Fee Owner,"$934,704","$109,311",$0,$0.00,$0.00,$0.00
9599 MAIN ST,RESIDENTIAL A,"7,600",9599 MAIN ST LAND TR Fee Owner,"$158,493","$41,684",$0,$0.00,$0.00,$0.00
4294 MAIN ST,COMMERCIAL B,"4,392",4294 MAIN ST LAND TR Fee Owner,"$585,521","$133,558",$0,$0.00,$0.00,$0.00
3194 MAIN ST,COMMERCIAL B,"9,324",3194 MAIN ST LAND TR Fee Owner,"$278,336","$178,728",$0,$0.00,$0.00,$0.00
3783 MAIN ST,RESIDENTIAL A,"5,274",3783 MAIN ST LAND TR Fee Owner,"$983,497","$154,300",$0,$0.00,$0.00,$0.00
8619 MAIN ST,RESIDENTIAL A,"1,188",8619 MAIN ST LAND TR Fee Owner,"$930,854","$195,116",$0,$0.00,$0.00,$0.00
1312 MAIN ST,COMMERCIAL A,"6,382",1312 MAIN ST LAND TR Fee Owner,"$50,038","$162,544",$0,$0.00,$0.00,$0.00
3582 MAIN ST,RESIDENTIAL B,"8,301",3582 MAIN ST LAND TR Fee Owner,"$152,486","$24,808",$0,$0.00,$0.00,$0.00
8419 MAIN ST,RESIDENTIAL A,"7,663",8419 MAIN ST LAND TR Fee Owner,"$74,095","$159,758",$0,$0.00,$0.00,$0.00
3148 MAIN ST,RESIDENTIAL A,"6,712",3148 MAIN ST LAND TR Fee Owner,"$528,807","$97,779",$0,$0.00,$0.00,$0.00
6573 MAIN ST,COMMERCIAL B,"1,456",6573 MAIN ST LAND TR Fee Owner,"$909,254","$105,138",$0,$0.00,$0.00,$0.00
3486 MAIN ST,RESIDENTIAL B,"4,049",3486 MAIN ST LAND TR Fee Owner,"$135,880","$121,748",$0,$0.00,$0.00,$0.00
1169 MAIN ST,COMMERCIAL B,"9,381",1169 MAIN ST LAND TR Fee Owner,"$467,031","$183,983",$0,$0.00,$0.00,$0.00
1347 MAIN ST,COMMERCIAL A,"2,057",1347 MAIN ST LAND TR Fee Owner,"$51,992","$67,591",$0,$0.00,$0.00,$0.00
5259 MAIN ST,RESIDENTIAL B,"4,954",5259 MAIN ST LAND TR Fee Owner,"$917,949","$89,490",$0,$0.00,$0.00,$0.00
1300 MAIN ST,RESIDENTIAL B,"7,956",1300 MAIN ST LAND TR Fee Owner,"$312,874","$159,569",$0,$0.00,$0.00,$0.00
1034 MAIN ST,COMMERCIAL B,"4,719",1034 MAIN ST LAND TR Fee Owner,"$63,204","$12,173",$0,$0.00,$0.00,$0.00
6490 MAIN ST,COMMERCIAL B,"9,513",6490 MAIN ST LAND TR Fee Owner,"$484,082","$69,923",$0,$0.00,$0.00,$0.00
7625 MAIN ST,COMMERCIAL B,"3,107",7625 MAIN ST LAND TR Fee Owner,"$627,962","$122,573",$0,$0.00,$0.00,$0.00
2025 MAIN ST,RESIDENTIAL B,"7,924",2025 MAIN ST LAND TR Fee Owner,"$838,361","$27,107",$0,$0.00,$0.00,$0.00
3687 MAIN ST,RESIDENTIAL A,"3,680",3687 MAIN ST LAND TR Fee Owner,"$751,393","$170,502",$0,$0.00,$0.00,$0.00
9184 MAIN ST,RESIDENTIAL B,"8,442",9184 MAIN ST LAND TR Fee Owner,"$64,847","$98,252",$0,$0.00,$0.00,$0.00
6101 MAIN ST,RESIDENTIAL A,"4,512",6101 MAIN ST LAND TR Fee Owner,"$115,364","$61,624",$0,$0.00,$0.00,$0.00
2808 MAIN ST,RESIDENTIAL A,"1,402",2808 MAIN ST LAND TR Fee Owner,"$722,640","$106,954",$0,$0.00,$0.00,$0.00
6485 MAIN ST,RESIDENTIAL B,"5,073",6485 MAIN ST LAND TR Fee Owner,"$674,977","$72,304",$0,$0.00,$0.00,$0.00
7300 MAIN ST,COMMERCIAL A,"1,326",7300 MAIN ST LAND TR Fee Owner,"$686,388","$131,820",$0,$0.00,$0.00,$0.00
2981 MAIN ST,RESIDENTIAL A,"8,937",2981 MAIN ST LAND TR Fee Owner,"$822,885","$15,530",$0,$0.00,$0.00,$0.00
8985 MAIN ST,RESIDENTIAL B,"1,853",8985 MAIN ST LAND TR Fee Owner,"$176,603","$103,538",$0,$0.00,$0.00,$0.00
3907 MAIN ST,COMMERCIAL A,"2,129",3907 MAIN ST LAND TR Fee Owner,"$509,901","$162,884",$0,$0.00,$0.00,$0.00
4140 MAIN ST,RESIDENTIAL A,"5,554",4140 MAIN ST LAND TR Fee Owner,"$428,069","$145,450",$0,$0.00,$0.00,$0.00
3517 MAIN ST,RESIDENTIAL A,"8,853",3517 MAIN ST LAND TR Fee Owner,"$51,606","$164,987",$0,$0.00,$0.00,$0.00
1498 MAIN ST,RESIDENTIAL B,"2,974",1498 MAIN ST LAND TR Fee Owner,"$783,830","$30,331",$0,$0.00,$0.00,$0.00
6003 MAIN ST,COMMERCIAL B,"3,387",6003 MAIN ST LAND TR Fee Owner,"$416,438","$83,260",$0,$0.00,$0.00,$0.00
9371 MAIN ST,COMMERCIAL B,"7,860",9371 MAIN ST LAND TR Fee Owner,"$622,225","$120,389",$0,$0.00,$0.00,$0.00
3316 MAIN ST,RESIDENTIAL A,"5,365",3316 MAIN ST LAND TR Fee Owner,"$890,518","$92,727",$0,$0.00,$0.00,$0.00
1842 MAIN ST,RESIDENTIAL B,"7,768",1842 MAIN ST LAND TR Fee Owner,"$216,728","$193,664",$0,$0.00,$0.00,$0.00
5009 MAIN ST,RESIDENTIAL A,"9,782",5009 MAIN ST LAND TR Fee Owner,"$752,519","$167,290",$0,$0.00,$0.00,$0.00
5993 MAIN ST,RESIDENTIAL B,"3,963",5993 MAIN ST LAND TR Fee Owner,"$828,397","$166,069",$0,$0.00,$0.00,$0.00
3792 MAIN ST,COMMERCIAL A,"4,383",3792 MAIN ST LAND TR Fee Owner,"$196,887","$17,884",$0,$0.00,$0.00,$0.00
8063 MAIN ST,COMMERCIAL B,"5,997",8063 MAIN ST LAND TR Fee Owner,"$631,260","$141,183",$0,$0.00,$0.00,$0.00
1679 MAIN ST,COMMERCIAL A,"2,068",1679 MAIN ST LAND TR Fee Owner,"$513,731","$5,641",$0,$0.00,$0.00,$0.00
2083 MAIN ST,RESIDENTIAL B,"7,823",2083 MAIN ST LAND TR Fee Owner,"$259,684","$72,477",$0,$0.00,$0.00,$0.00
9595 MAIN ST,COMMERCIAL A,"3,253",9595 MAIN ST LAND TR Fee Owner,"$928,706","$112,403",$0,$0.00,$0.00,$0.00
6708 MAIN ST,RESIDENTIAL A,"2,490",6708 MAIN ST LAND TR Fee Owner,"$73,129","$129,868",$0,$0.00,$0.00,$0.00
2290 MAIN ST,RESIDENTIAL A,"8,321",2290 MAIN ST LAND TR Fee Owner,"$755,307","$195,302",$0,$0.00,$0.00,$0.00
3874 MAIN ST,COMMERCIAL B,"8,462",3874 MAIN ST LAND TR Fee Owner,"$633,613","$125,153",$0,$0.00,$0.00,$0.00
3874 MAIN ST,COMMERCIAL A,"4,388",3874 MAIN ST LAND TR Fee Owner,"$951,008","$159,482",$0,$0.00,$0.00,$0.00
2030 MAIN ST,COMMERCIAL A,"1,580",2030 MAIN ST LAND TR Fee Owner,"$63,707","$128,835",$0,$0.00,$0.00,$0.00
3659 MAIN ST,COMMERCIAL B,"9,343",3659 MAIN ST LAND TR Fee Owner,"$736,531","$173,704",$0,$0.00,$0.00,$0.00
8486 MAIN ST,RESIDENTIAL A,"5,736",8486 MAIN ST LAND TR Fee Owner,"$130,646","$158,380",$0,$0.00,$0.00,$0.00
7429 MAIN ST,RESIDENTIAL A,"4,439",7429 MAIN ST LAND TR Fee Owner,"$528,721","$161,543",$0,$0.00,$0.00,$0.00
1978 MAIN ST,RESIDENTIAL B,"8,061",1978 MAIN ST LAND TR Fee Owner,"$448,205","$154,368",$0,$0.00,$0.00,$0.00
7253 MAIN ST,RESIDENTIAL B,"5,654",7253 MAIN ST LAND TR Fee Owner,"$649,127","$74,382",$0,$0.00,$0.00,$0.00
2670 MAIN ST,RESIDENTIAL A,"5,686",2670 MAIN ST LAND TR Fee Owner,"$287,162","$84,325",$0,$0.00,$0.00,$0.00
1319 MAIN ST,COMMERCIAL B,"5,966",1319 MAIN ST LAND TR Fee Owner,"$473,353","$88,822",$0,$0.00,$0.00,$0.00
7515 MAIN ST,COMMERCIAL A,"1,739",7515 MAIN ST LAND TR Fee Owner,"$223,508","$31,772",$0,$0.00,$0.00,$0.00
5721 MAIN ST,COMMERCIAL A,"1,838",5721 MAIN ST LAND TR Fee Owner,"$488,799","$188,418",$0,$0.00,$0.00,$0.00
5517 MAIN ST,COMMERCIAL B,"4,165",5517 MAIN ST LAND TR Fee Owner,"$249,990","$16,122",$0,$0.00,$0.00,$0.00
9354 MAIN ST,RESIDENTIAL A,"6,587",9354 MAIN ST LAND TR Fee Owner,"$801,308","$32,380",$0,$0.00,$0.00,$0.00
6753 MAIN ST,COMMERCIAL B,"7,103",6753 MAIN ST LAND TR Fee Owner,"$320,209","$34,984",$0,$0.00,$0.00,$0.00
7563 MAIN ST,COMMERCIAL A,"5,767",7563 MAIN ST LAND TR Fee Owner,"$848,641","$174,590",$0,$0.00,$0.00,$0.00
6560 MAIN ST,RESIDENTIAL A,"7,082",6560 MAIN ST LAND TR Fee Owner,"$499,178","$130,004",$0,$0.00,$0.00,$0.00
5292 MAIN ST,RESIDENTIAL A,"4,228",5292 MAIN ST LAND TR Fee Owner,"$684,557","$148,676",$0,$0.00,$0.00,$0.00
4126 MAIN ST,RESIDENTIAL B,"1,853",4126 MAIN ST LAND TR Fee Owner,"$172,254","$7,472",$0,$0.00,$0.00,$0.00
4422 MAIN ST,COMMERCIAL B,"4,228",4422 MAIN ST LAND TR Fee Owner,"$715,156","$19,944",$0,$0.00,$0.00,$0.00
2934 MAIN ST,COMMERCIAL B,"7,852",2934 MAIN ST LAND TR Fee Owner,"$183,115","$21,497",$0,$0.00,$0.00,$0.00
3296 MAIN ST,COMMERCIAL B,"5,934",3296 MAIN ST LAND TR Fee Owner,"$457,443","$94,215",$0,$0.00,$0.00,$0.00
3544 MAIN ST,RESIDENTIAL A,"8,238",3544 MAIN ST LAND TR Fee Owner,"$250,690","$108,152",$0,$0.00,$0.00,$0.00
7932 MAIN ST,COMMERCIAL A,"3,580",7932 MAIN ST LAND TR Fee Owner,"$875,058","$23,926",$0,$0.00,$0.00,$0.00
6910 MAIN ST,COMMERCIAL B,"4,466",6910 MAIN ST LAND TR Fee Owner,"$535,890","$73,528",$0,$0.00,$0.00,$0.00
8125 MAIN ST,COMMERCIAL B,"7,826",8125 MAIN ST LAND TR Fee Owner,"$677,566","$163,947",$0,$0.00,$0.00,$0.00
6820 MAIN ST,RESIDENTIAL A,"3,601",6820 MAIN ST LAND TR Fee Owner,"$457,511","$61,266",$0,$0.00,$0.00,$0.00
7947 MAIN ST,RESIDENTIAL A,"4,413",7947 MAIN ST LAND TR Fee Owner,"$546,647","$195,819",$0,$0.00,$0.00,$0.00
7963 MAIN ST,RESIDENTIAL A,"4,163",7963 MAIN ST LAND TR Fee Owner,"$97,953","$84,023",$0,$0.00,$0.00,$0.00
9260 MAIN ST,RESIDENTIAL B,"7,793",9260 MAIN ST LAND TR Fee Owner,"$562,532","$56,570",$0,$0.00,$0.00,$0.00
7212 MAIN ST,COMMERCIAL A,"5,789",7212 MAIN ST LAND TR Fee Owner,"$119,740","$195,122",$0,$0.00,$0.00,$0.00
7740 MAIN ST,COMMERCIAL B,"5,617",7740 MAIN ST LAND TR Fee Owner,"$61,206","$31,583",$0,$0.00,$0.00,$0.00
9775 MAIN ST,RESIDENTIAL A,"9,166",9775 MAIN ST LAND TR Fee Owner,"$939,579","$69,270",$0,$0.00,$0.00,$0.00
3107 MAIN ST,COMMERCIAL B,"1,495",3107 MAIN ST LAND TR Fee Owner,"$442,910","$148,674",$0,$0.00,$0.00,$0.00
5841 MAIN ST,RESIDENTIAL B,"3,215",5841 MAIN ST LAND TR Fee Owner,"$721,563","$49,107",$0,$0.00,$0.00,$0.00
6176 MAIN ST,COMMERCIAL B,"9,110",6176 MAIN ST LAND TR Fee Owner,"$298,968","$143,859",$0,$0.00,$0.00,$0.00
6097 MAIN ST,COMMERCIAL B,"9,648",6097 MAIN ST LAND TR Fee Owner,"$318,321","$33,221",$0,$0.00,$0.00,$0.00
6256 MAIN ST,RESIDENTIAL A,"4,786",6256 MAIN ST LAND TR Fee Owner,"$882,391","$17,374",$0,$0.00,$0.00,$0.00
4636 MAIN ST,RESIDENTIAL A,"6,372",4636 MAIN ST LAND TR Fee Owner,"$509,015","$142,659",$0,$0.00,$0.00,$0.00
1796 MAIN ST,COMMERCIAL B,"4,947",1796 MAIN ST LAND TR Fee Owner,"$951,313","$82,134",$0,$0.00,$0.00,$0.00
4066 MAIN ST,RESIDENTIAL A,"7,086",4066 MAIN ST LAND TR Fee Owner,"$296,950","$87,054",$0,$0.00,$0.00,$0.00
9840 MAIN ST,COMMERCIAL B,"9,910",9840 MAIN ST LAND TR Fee Owner,"$459,018","$83,743",$0,$0.00,$0.00,$0.00
6543 MAIN ST,RESIDENTIAL B,"7,723",6543 MAIN ST LAND TR Fee Owner,"$626,892","$125,102",$0,$0.00,$0.00,$0.00
